medicion,segmento,time_tag_s,dt_s,anomalo,clase
1,1,0.0000,,0,cada_1min
1,2,60.2491,60.2491,0,cada_1min
1,3,120.4999,60.2508,0,cada_1min
1,4,180.7508,60.2509,0,cada_1min
1,5,240.9609,60.2101,0,cada_1min
1,6,301.2115,60.2506,0,cada_1min
1,7,361.4599,60.2484,0,cada_1min
1,8,421.7123,60.2524,0,cada_1min
1,9,481.9018,60.1895,0,cada_1min
1,10,542.1732,60.2714,0,cada_1min
2,1,0.0000,,0,cada_30s
2,2,30.1458,30.1458,0,cada_30s
2,3,60.2702,30.1244,0,cada_30s
2,4,90.3559,30.0857,0,cada_30s
2,5,120.5209,30.1650,0,cada_30s
2,6,150.6262,30.1054,0,cada_30s
2,7,180.7308,30.1046,0,cada_30s
2,8,210.8760,30.1451,0,cada_30s
2,9,241.0011,30.1252,0,cada_30s
2,10,271.0864,30.0852,0,cada_30s
2,11,301.2106,30.1243,0,cada_30s
2,12,331.3155,30.1049,0,cada_30s
2,13,361.4411,30.1256,0,cada_30s
2,14,391.6067,30.1657,0,cada_30s
2,15,421.7121,30.1054,0,cada_30s
2,16,551.9308,130.2186,1,cada_30s
3,1,0.0000,,0,cada_30s
3,2,37.6966,37.6966,1,cada_30s
3,3,67.8433,30.1467,0,cada_30s
3,4,97.9282,30.0849,0,cada_30s
3,5,128.0747,30.1465,0,cada_30s
3,6,158.1796,30.1049,0,cada_30s
3,7,188.3046,30.1250,0,cada_30s
3,8,218.4114,30.1068,0,cada_30s
3,9,248.5574,30.1460,0,cada_30s
3,10,278.6630,30.1056,0,cada_30s
4,1,0.0000,,0,otros
4,2,11.6104,11.6104,0,otros
4,3,23.8714,12.2610,0,otros
4,4,33.5758,9.7044,0,otros
4,5,43.6857,10.1099,0,otros
5,1,0.0000,,0,cada_30s
5,2,54.5469,54.5469,1,cada_30s
5,3,84.7121,30.1652,0,cada_30s
5,4,114.8185,30.1065,0,cada_30s
5,5,144.9024,30.0838,0,cada_30s
5,6,175.0686,30.1662,0,cada_30s
5,7,205.1748,30.1063,0,cada_30s
5,8,235.2802,30.1054,0,cada_30s
5,9,265.4252,30.1450,0,cada_30s
5,10,295.5502,30.1250,0,cada_30s
5,11,325.6347,30.0845,0,cada_30s
5,12,355.7613,30.1266,0,cada_30s
5,13,385.8669,30.1056,0,cada_30s
5,14,415.9907,30.1238,0,cada_30s
5,15,446.1561,30.1654,0,cada_30s
6,1,0.0000,,0,cada_30s
6,2,30.1466,30.1466,0,cada_30s
6,3,60.2723,30.1257,0,cada_30s
6,4,90.3574,30.0851,0,cada_30s
6,5,120.5228,30.1654,0,cada_30s
6,6,150.6276,30.1049,0,cada_30s
6,7,180.7343,30.1066,0,cada_30s
6,8,210.8800,30.1457,0,cada_30s
6,9,241.0049,30.1249,0,cada_30s
6,10,271.0903,30.0854,0,cada_30s
7,1,0.0000,,0,cada_30s
7,2,30.1444,30.1444,0,cada_30s
7,3,60.2495,30.1051,0,cada_30s
7,4,90.3947,30.1453,0,cada_30s
7,5,120.4986,30.1038,0,cada_30s
7,6,150.6032,30.1046,0,cada_30s
7,7,180.7083,30.1051,0,cada_30s
7,8,210.8725,30.1642,0,cada_30s
7,9,240.9777,30.1052,0,cada_30s
7,10,271.0823,30.1046,0,cada_30s
7,11,301.1877,30.1053,0,cada_30s
7,12,331.3527,30.1650,0,cada_30s
7,13,361.4780,30.1254,0,cada_30s
7,14,391.5824,30.1043,0,cada_30s
7,15,421.7086,30.1262,0,cada_30s
7,16,451.8123,30.1037,0,cada_30s
7,17,481.9383,30.1260,0,cada_30s
7,18,512.0421,30.1038,0,cada_30s
7,19,542.1474,30.1054,0,cada_30s
7,20,572.2730,30.1255,0,cada_30s
7,21,602.3783,30.1054,0,cada_30s
7,22,632.5427,30.1643,0,cada_30s
7,23,662.6677,30.1250,0,cada_30s
7,24,692.7733,30.1056,0,cada_30s
7,25,722.8981,30.1248,0,cada_30s
7,26,753.0037,30.1056,0,cada_30s
7,27,783.1279,30.1242,0,cada_30s
7,28,813.2342,30.1063,0,cada_30s
7,29,843.3576,30.1234,0,cada_30s
7,30,873.4625,30.1049,0,cada_30s
7,31,903.5881,30.1256,0,cada_30s
7,32,933.6933,30.1052,0,cada_30s
7,33,963.8188,30.1255,0,cada_30s
7,34,993.9843,30.1655,0,cada_30s
7,35,1024.0489,30.0646,0,cada_30s
7,36,1054.2141,30.1651,0,cada_30s
7,37,1084.3395,30.1254,0,cada_30s
7,38,1114.4445,30.1050,0,cada_30s
7,39,1144.5697,30.1252,0,cada_30s
7,40,1174.6745,30.1047,0,cada_30s
7,41,1204.7992,30.1248,0,cada_30s
7,42,1234.9043,30.1050,0,cada_30s
7,43,1265.0303,30.1261,0,cada_30s
7,44,1295.1355,30.1052,0,cada_30s
7,45,1325.2613,30.1258,0,cada_30s
7,46,1355.4057,30.1444,0,cada_30s
7,47,1385.5314,30.1257,0,cada_30s
7,48,1415.6564,30.1250,0,cada_30s
7,49,1445.7613,30.1049,0,cada_30s
7,50,1475.8865,30.1253,0,cada_30s
